                                    name ROOTtype arraytype isarray        countname countROOTtype countarraytype
                             metNoEle_pt Double_t         d      no             None          None           None
                            metNoEle_eta Double_t         d      no             None          None           None
                            metNoEle_phi Double_t         d      no             None          None           None
                           metNoEle_mass Double_t         d      no             None          None           None
                               nisoTrack    Int_t         i      no             None          None           None
                          isoTrack_pdgId    Int_t         i    yes         nisoTrack         Int_t              i
                             isoTrack_pt Double_t         d    yes         nisoTrack         Int_t              i
                            isoTrack_eta Double_t         d    yes         nisoTrack         Int_t              i
                            isoTrack_phi Double_t         d    yes         nisoTrack         Int_t              i
                           isoTrack_mass Double_t         d    yes         nisoTrack         Int_t              i
                         isoTrack_charge    Int_t         i    yes         nisoTrack         Int_t              i
                             isoTrack_dz Double_t         d    yes         nisoTrack         Int_t              i
                         isoTrack_absIso Double_t         d    yes         nisoTrack         Int_t              i
                      isoTrack_mcMatchId    Int_t         i    yes         nisoTrack         Int_t              i
                                 ngenTau    Int_t         i      no             None          None           None
                         genTau_motherId    Int_t         i    yes           ngenTau         Int_t              i
                    genTau_grandmotherId    Int_t         i    yes           ngenTau         Int_t              i
                         genTau_sourceId    Int_t         i    yes           ngenTau         Int_t              i
                           genTau_charge Double_t         d    yes           ngenTau         Int_t              i
                           genTau_status    Int_t         i    yes           ngenTau         Int_t              i
                            genTau_pdgId    Int_t         i    yes           ngenTau         Int_t              i
                               genTau_pt Double_t         d    yes           ngenTau         Int_t              i
                              genTau_eta Double_t         d    yes           ngenTau         Int_t              i
                              genTau_phi Double_t         d    yes           ngenTau         Int_t              i
                             genTau_mass Double_t         d    yes           ngenTau         Int_t              i
                      genTau_motherIndex    Int_t         i    yes           ngenTau         Int_t              i
                                nGenPart    Int_t         i      no             None          None           None
                        GenPart_motherId    Int_t         i    yes          nGenPart         Int_t              i
                   GenPart_grandmotherId    Int_t         i    yes          nGenPart         Int_t              i
                        GenPart_sourceId    Int_t         i    yes          nGenPart         Int_t              i
                          GenPart_charge Double_t         d    yes          nGenPart         Int_t              i
                          GenPart_status    Int_t         i    yes          nGenPart         Int_t              i
                           GenPart_pdgId    Int_t         i    yes          nGenPart         Int_t              i
                              GenPart_pt Double_t         d    yes          nGenPart         Int_t              i
                             GenPart_eta Double_t         d    yes          nGenPart         Int_t              i
                             GenPart_phi Double_t         d    yes          nGenPart         Int_t              i
                            GenPart_mass Double_t         d    yes          nGenPart         Int_t              i
                     GenPart_motherIndex    Int_t         i    yes          nGenPart         Int_t              i
                        nminDeltaRPhoJet    Int_t         i      no             None          None           None
                         minDeltaRPhoJet Double_t         d    yes  nminDeltaRPhoJet         Int_t              i
                                    njet    Int_t         i      no             None          None           None
                                jet_area Double_t         d    yes              njet         Int_t              i
                                 jet_qgl Double_t         d    yes              njet         Int_t              i
                                 jet_ptd Double_t         d    yes              njet         Int_t              i
                               jet_axis2 Double_t         d    yes              njet         Int_t              i
                                jet_mult    Int_t         i    yes              njet         Int_t              i
                            jet_partonId    Int_t         i    yes              njet         Int_t              i
                      jet_partonMotherId    Int_t         i    yes              njet         Int_t              i
                            jet_nLeptons Double_t         d    yes              njet         Int_t              i
                                  jet_id    Int_t         i    yes              njet         Int_t              i
                                jet_puId    Int_t         i    yes              njet         Int_t              i
                             jet_btagCSV Double_t         d    yes              njet         Int_t              i
                            jet_btagCMVA Double_t         d    yes              njet         Int_t              i
                               jet_rawPt Double_t         d    yes              njet         Int_t              i
                                jet_mcPt Double_t         d    yes              njet         Int_t              i
                           jet_mcFlavour    Int_t         i    yes              njet         Int_t              i
                           jet_mcMatchId    Int_t         i    yes              njet         Int_t              i
                                  jet_pt Double_t         d    yes              njet         Int_t              i
                                 jet_eta Double_t         d    yes              njet         Int_t              i
                                 jet_phi Double_t         d    yes              njet         Int_t              i
                                jet_mass Double_t         d    yes              njet         Int_t              i
                         jet_mcMatchFlav    Int_t         i    yes              njet         Int_t              i
                                  ngamma    Int_t         i      no             None          None           None
                        gamma_idCutBased    Int_t         i    yes            ngamma         Int_t              i
                            gamma_hOverE Double_t         d    yes            ngamma         Int_t              i
                                gamma_r9 Double_t         d    yes            ngamma         Int_t              i
                     gamma_sigmaIetaIeta Double_t         d    yes            ngamma         Int_t              i
                          gamma_chHadIso Double_t         d    yes            ngamma         Int_t              i
                         gamma_neuHadIso Double_t         d    yes            ngamma         Int_t              i
                             gamma_phIso Double_t         d    yes            ngamma         Int_t              i
                         gamma_mcMatchId    Int_t         i    yes            ngamma         Int_t              i
                              gamma_mcPt Double_t         d    yes            ngamma         Int_t              i
                             gamma_pdgId    Int_t         i    yes            ngamma         Int_t              i
                                gamma_pt Double_t         d    yes            ngamma         Int_t              i
                               gamma_eta Double_t         d    yes            ngamma         Int_t              i
                               gamma_phi Double_t         d    yes            ngamma         Int_t              i
                              gamma_mass Double_t         d    yes            ngamma         Int_t              i
                            gamma_genIso Double_t         d    yes            ngamma         Int_t              i
                          ngenLepFromTau    Int_t         i      no             None          None           None
                  genLepFromTau_motherId    Int_t         i    yes    ngenLepFromTau         Int_t              i
             genLepFromTau_grandmotherId    Int_t         i    yes    ngenLepFromTau         Int_t              i
                  genLepFromTau_sourceId    Int_t         i    yes    ngenLepFromTau         Int_t              i
                    genLepFromTau_charge Double_t         d    yes    ngenLepFromTau         Int_t              i
                    genLepFromTau_status    Int_t         i    yes    ngenLepFromTau         Int_t              i
                     genLepFromTau_pdgId    Int_t         i    yes    ngenLepFromTau         Int_t              i
                        genLepFromTau_pt Double_t         d    yes    ngenLepFromTau         Int_t              i
                       genLepFromTau_eta Double_t         d    yes    ngenLepFromTau         Int_t              i
                       genLepFromTau_phi Double_t         d    yes    ngenLepFromTau         Int_t              i
                      genLepFromTau_mass Double_t         d    yes    ngenLepFromTau         Int_t              i
               genLepFromTau_motherIndex    Int_t         i    yes    ngenLepFromTau         Int_t              i
                                    nele    Int_t         i      no             None          None           None
                              ele_charge    Int_t         i    yes              nele         Int_t              i
                             ele_tightId    Int_t         i    yes              nele         Int_t              i
               ele_eleCutIdCSA14_25ns_v1    Int_t         i    yes              nele         Int_t              i
               ele_eleCutIdCSA14_50ns_v1    Int_t         i    yes              nele         Int_t              i
                                 ele_dxy Double_t         d    yes              nele         Int_t              i
                                  ele_dz Double_t         d    yes              nele         Int_t              i
                                ele_edxy Double_t         d    yes              nele         Int_t              i
                                 ele_edz Double_t         d    yes              nele         Int_t              i
                                ele_ip3d Double_t         d    yes              nele         Int_t              i
                               ele_sip3d Double_t         d    yes              nele         Int_t              i
                            ele_convVeto    Int_t         i    yes              nele         Int_t              i
                            ele_lostHits    Int_t         i    yes              nele         Int_t              i
                            ele_relIso03 Double_t         d    yes              nele         Int_t              i
                            ele_relIso04 Double_t         d    yes              nele         Int_t              i
                         ele_tightCharge    Int_t         i    yes              nele         Int_t              i
                           ele_mcMatchId    Int_t         i    yes              nele         Int_t              i
                          ele_mcMatchAny    Int_t         i    yes              nele         Int_t              i
                          ele_mcMatchTau    Int_t         i    yes              nele         Int_t              i
                                ele_mcPt Double_t         d    yes              nele         Int_t              i
                        ele_mediumMuonId    Int_t         i    yes              nele         Int_t              i
                               ele_pdgId    Int_t         i    yes              nele         Int_t              i
                                  ele_pt Double_t         d    yes              nele         Int_t              i
                                 ele_eta Double_t         d    yes              nele         Int_t              i
                                 ele_phi Double_t         d    yes              nele         Int_t              i
                                ele_mass Double_t         d    yes              nele         Int_t              i
                            ele_eleMVAId    Int_t         i    yes              nele         Int_t              i
                               ele_mvaId Double_t         d    yes              nele         Int_t              i
                           ele_mvaIdTrig Double_t         d    yes              nele         Int_t              i
                         ele_mvaIdPhys14 Double_t         d    yes              nele         Int_t              i
                          ele_miniRelIso Double_t         d    yes              nele         Int_t              i
                              ele_mvaTTH Double_t         d    yes              nele         Int_t              i
                             ele_mvaSusy Double_t         d    yes              nele         Int_t              i
                          ele_jetPtRatio Double_t         d    yes              nele         Int_t              i
                            ele_jetPtRel Double_t         d    yes              nele         Int_t              i
                          ele_jetBTagCSV Double_t         d    yes              nele         Int_t              i
                         ele_jetBTagCMVA Double_t         d    yes              nele         Int_t              i
                               ele_jetDR Double_t         d    yes              nele         Int_t              i
                        nminDeltaRLepJet    Int_t         i      no             None          None           None
                         minDeltaRLepJet Double_t         d    yes  nminDeltaRLepJet         Int_t              i
                                   nmuon    Int_t         i      no             None          None           None
                             muon_charge    Int_t         i    yes             nmuon         Int_t              i
                            muon_tightId    Int_t         i    yes             nmuon         Int_t              i
              muon_eleCutIdCSA14_25ns_v1    Int_t         i    yes             nmuon         Int_t              i
              muon_eleCutIdCSA14_50ns_v1    Int_t         i    yes             nmuon         Int_t              i
                                muon_dxy Double_t         d    yes             nmuon         Int_t              i
                                 muon_dz Double_t         d    yes             nmuon         Int_t              i
                               muon_edxy Double_t         d    yes             nmuon         Int_t              i
                                muon_edz Double_t         d    yes             nmuon         Int_t              i
                               muon_ip3d Double_t         d    yes             nmuon         Int_t              i
                              muon_sip3d Double_t         d    yes             nmuon         Int_t              i
                           muon_convVeto    Int_t         i    yes             nmuon         Int_t              i
                           muon_lostHits    Int_t         i    yes             nmuon         Int_t              i
                           muon_relIso03 Double_t         d    yes             nmuon         Int_t              i
                           muon_relIso04 Double_t         d    yes             nmuon         Int_t              i
                        muon_tightCharge    Int_t         i    yes             nmuon         Int_t              i
                          muon_mcMatchId    Int_t         i    yes             nmuon         Int_t              i
                         muon_mcMatchAny    Int_t         i    yes             nmuon         Int_t              i
                         muon_mcMatchTau    Int_t         i    yes             nmuon         Int_t              i
                               muon_mcPt Double_t         d    yes             nmuon         Int_t              i
                       muon_mediumMuonId    Int_t         i    yes             nmuon         Int_t              i
