             component          met      n   nvar
        TToLeptons_sch    10.000000     72     72
        TToLeptons_sch    12.589254    106    106
        TToLeptons_sch    15.848932    192    192
        TToLeptons_sch    19.952623    319    319
        TToLeptons_sch    25.118864    467    467
        TToLeptons_sch    31.622777    629    629
        TToLeptons_sch    39.810717    819    819
        TToLeptons_sch    50.118723    854    854
        TToLeptons_sch    63.095734    662    662
        TToLeptons_sch    79.432823    460    460
        TToLeptons_sch   100.000000    242    242
        TToLeptons_sch   125.892541    113    113
        TToLeptons_sch   158.489319     62     62
        TToLeptons_sch   199.526231     35     35
        TToLeptons_sch   251.188643     10     10
        TToLeptons_sch   316.227766      4      4
        TToLeptons_sch   398.107171      2      2
        TToLeptons_sch   501.187234      0      0
        TToLeptons_tch     2.511886      4      4
        TToLeptons_tch     3.162278     10     10
        TToLeptons_tch     3.981072     33     33
        TToLeptons_tch     5.011872     78     78
        TToLeptons_tch     6.309573    146    146
        TToLeptons_tch     7.943282    275    275
        TToLeptons_tch    10.000000    468    468
        TToLeptons_tch    12.589254    806    806
        TToLeptons_tch    15.848932   1296   1296
        TToLeptons_tch    19.952623   2073   2073
        TToLeptons_tch    25.118864   3001   3001
        TToLeptons_tch    31.622777   4242   4242
        TToLeptons_tch    39.810717   5236   5236
        TToLeptons_tch    50.118723   5536   5536
        TToLeptons_tch    63.095734   4903   4903
        TToLeptons_tch    79.432823   3602   3602
        TToLeptons_tch   100.000000   2032   2032
        TToLeptons_tch   125.892541   1083   1083
        TToLeptons_tch   158.489319    559    559
        TToLeptons_tch   199.526231    261    261
        TToLeptons_tch   251.188643    104    104
        TToLeptons_tch   316.227766     43     43
        TToLeptons_tch   398.107171     22     22
        TToLeptons_tch   501.187234     10     10
        TToLeptons_tch   630.957344      3      3
        TToLeptons_tch   794.328235      0      0
 WJetsToLNu_HT100to200     2.511886      4      4
 WJetsToLNu_HT100to200     3.162278      1      1
 WJetsToLNu_HT100to200     3.981072      4      4
 WJetsToLNu_HT100to200     5.011872      8      8
 WJetsToLNu_HT100to200     6.309573     18     18
 WJetsToLNu_HT100to200     7.943282     25     25
 WJetsToLNu_HT100to200    10.000000     62     62
 WJetsToLNu_HT100to200    12.589254     71     71
 WJetsToLNu_HT100to200    15.848932    130    130
 WJetsToLNu_HT100to200    19.952623    190    190
 WJetsToLNu_HT100to200    25.118864    262    262
 WJetsToLNu_HT100to200    31.622777    369    369
 WJetsToLNu_HT100to200    39.810717    360    360
 WJetsToLNu_HT100to200    50.118723    358    358
 WJetsToLNu_HT100to200    63.095734    310    310
 WJetsToLNu_HT100to200    79.432823    170    170
 WJetsToLNu_HT100to200   100.000000    123    123
 WJetsToLNu_HT100to200   125.892541     45     45
 WJetsToLNu_HT100to200   158.489319     24     24
 WJetsToLNu_HT100to200   199.526231      5      5
 WJetsToLNu_HT100to200   251.188643      0      0
 WJetsToLNu_HT200to400     1.258925      5      5
 WJetsToLNu_HT200to400     1.584893      4      4
 WJetsToLNu_HT200to400     1.995262     24     24
 WJetsToLNu_HT200to400     2.511886     65     65
 WJetsToLNu_HT200to400     3.162278    127    127
 WJetsToLNu_HT200to400     3.981072    245    245
 WJetsToLNu_HT200to400     5.011872    472    472
 WJetsToLNu_HT200to400     6.309573    900    900
 WJetsToLNu_HT200to400     7.943282   1646   1646
 WJetsToLNu_HT200to400    10.000000   2675   2675
 WJetsToLNu_HT200to400    12.589254   4429   4429
 WJetsToLNu_HT200to400    15.848932   6751   6751
 WJetsToLNu_HT200to400    19.952623   9889   9889
 WJetsToLNu_HT200to400    25.118864  13738  13738
 WJetsToLNu_HT200to400    31.622777  17426  17426
 WJetsToLNu_HT200to400    39.810717  18872  18872
 WJetsToLNu_HT200to400    50.118723  17712  17712
 WJetsToLNu_HT200to400    63.095734  13162  13162
 WJetsToLNu_HT200to400    79.432823   7809   7809
 WJetsToLNu_HT200to400   100.000000   3950   3950
 WJetsToLNu_HT200to400   125.892541   1990   1990
 WJetsToLNu_HT200to400   158.489319   1322   1322
 WJetsToLNu_HT200to400   199.526231    922    922
 WJetsToLNu_HT200to400   251.188643    372    372
 WJetsToLNu_HT200to400   316.227766     57     57
 WJetsToLNu_HT200to400   398.107171      2      2
 WJetsToLNu_HT200to400   501.187234      0      0
 WJetsToLNu_HT400to600     1.000000      3      3
 WJetsToLNu_HT400to600     1.258925      4      4
 WJetsToLNu_HT400to600     1.584893     20     20
 WJetsToLNu_HT400to600     1.995262     44     44
 WJetsToLNu_HT400to600     2.511886     92     92
 WJetsToLNu_HT400to600     3.162278    226    226
 WJetsToLNu_HT400to600     3.981072    387    387
 WJetsToLNu_HT400to600     5.011872    812    812
 WJetsToLNu_HT400to600     6.309573   1487   1487
 WJetsToLNu_HT400to600     7.943282   2649   2649
 WJetsToLNu_HT400to600    10.000000   4300   4300
 WJetsToLNu_HT400to600    12.589254   6964   6964
 WJetsToLNu_HT400to600    15.848932  10908  10908
 WJetsToLNu_HT400to600    19.952623  15811  15811
 WJetsToLNu_HT400to600    25.118864  21851  21851
 WJetsToLNu_HT400to600    31.622777  27798  27798
 WJetsToLNu_HT400to600    39.810717  31502  31502
 WJetsToLNu_HT400to600    50.118723  29976  29976
 WJetsToLNu_HT400to600    63.095734  23684  23684
 WJetsToLNu_HT400to600    79.432823  14919  14919
 WJetsToLNu_HT400to600   100.000000   8045   8045
 WJetsToLNu_HT400to600   125.892541   4291   4291
 WJetsToLNu_HT400to600   158.489319   2677   2677
 WJetsToLNu_HT400to600   199.526231   1963   1963
 WJetsToLNu_HT400to600   251.188643   1650   1650
 WJetsToLNu_HT400to600   316.227766   1541   1541
 WJetsToLNu_HT400to600   398.107171    721    721
 WJetsToLNu_HT400to600   501.187234     81     81
 WJetsToLNu_HT400to600   630.957344      0      0
 WJetsToLNu_HT600toInf     0.630957      1      1
 WJetsToLNu_HT600toInf     0.794328      1      1
 WJetsToLNu_HT600toInf     1.000000      5      5
 WJetsToLNu_HT600toInf     1.258925     15     15
 WJetsToLNu_HT600toInf     1.584893     25     25
 WJetsToLNu_HT600toInf     1.995262     36     36
 WJetsToLNu_HT600toInf     2.511886    106    106
 WJetsToLNu_HT600toInf     3.162278    168    168
 WJetsToLNu_HT600toInf     3.981072    389    389
 WJetsToLNu_HT600toInf     5.011872    732    732
 WJetsToLNu_HT600toInf     6.309573   1267   1267
 WJetsToLNu_HT600toInf     7.943282   2298   2298
 WJetsToLNu_HT600toInf    10.000000   3587   3587
 WJetsToLNu_HT600toInf    12.589254   5910   5910
 WJetsToLNu_HT600toInf    15.848932   9146   9146
 WJetsToLNu_HT600toInf    19.952623  13588  13588
 WJetsToLNu_HT600toInf    25.118864  18746  18746
 WJetsToLNu_HT600toInf    31.622777  23855  23855
 WJetsToLNu_HT600toInf    39.810717  27253  27253
 WJetsToLNu_HT600toInf    50.118723  27435  27435
 WJetsToLNu_HT600toInf    63.095734  23265  23265
 WJetsToLNu_HT600toInf    79.432823  16257  16257
 WJetsToLNu_HT600toInf   100.000000   9341   9341
 WJetsToLNu_HT600toInf   125.892541   5161   5161
 WJetsToLNu_HT600toInf   158.489319   3354   3354
 WJetsToLNu_HT600toInf   199.526231   2340   2340
 WJetsToLNu_HT600toInf   251.188643   1887   1887
 WJetsToLNu_HT600toInf   316.227766   1684   1684
 WJetsToLNu_HT600toInf   398.107171   1701   1701
 WJetsToLNu_HT600toInf   501.187234   1530   1530
 WJetsToLNu_HT600toInf   630.957344    718    718
 WJetsToLNu_HT600toInf   794.328235    269    269
 WJetsToLNu_HT600toInf  1000.000000     75     75
 WJetsToLNu_HT600toInf  1258.925412     20     20
 WJetsToLNu_HT600toInf  1584.893192      4      4
 WJetsToLNu_HT600toInf  1995.262315      0      0
